"Country","Issuer","Ruling authority","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Length","Width","Thickness","Orientation","Year","Gregorian year","Mintmark","Marks","References","Comment","Quantity","For exchange","Grade","Collection","From set","Buying price (USD)","Estimate (USD)","Private comment","Public comment","Storage location","Acquisition place","Acquisition date","Serial number","Internal ID","Weight","Size","Axis","Third-party grading","Grade","Details","Slab number","CAC sticker"
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","17.53","","1.5","Medal alignment ↑↑","1976","1976","","","","Canberra Mint","1","FALSE","AU","Zoo","","0","0.64","","Feathertail Glider (Acrobates pygmaeus)","World Coin Zoo Binder","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","KM# 62","N# 1559","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","17.53","","1.5","Medal alignment ↑↑","1978","1978","","","","Canberra Mint","1","FALSE","VF","Zoo","","0","0.2","","Feathertail Glider (Acrobates pygmaeus)","World Coin Zoo Binder","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","21.59","","1.86","Medal alignment ↑↑","1972","1972","","","","Circulation Canberra Mint","1","FALSE","XF","Zoo","","","0.26","","Frill-necked Lizard (Chlamydosaurus kingii)","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","19.41","","1.3","Medal alignment ↑↑","1984","1984","","","","Circulation; two types, see comments","1","FALSE","XF","Zoo","","","0.53","Echidna far from rim ","Short-beaked Echidna (Tachyglossus aculeatus)","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.05","KM# 80","N# 1567","5 Cents - Elizabeth II (3rd Portrait)","Standard circulation coins","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","19.41","","1.3","Medal alignment ↑↑","1993","1993","","","","Circulation; two SD variants, see comments","1","FALSE","XF","Zoo","","0","0.32","","Short-beaked echidna (Tachyglossus aculeatus)","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.05","KM# 80","N# 1567","5 Cents - Elizabeth II (3rd Portrait)","Standard circulation coins","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","19.41","","1.3","Medal alignment ↑↑","1996","1996","","","","Circulation","1","FALSE","XF","Zoo","","0","0.27","","Short-beaked echidna (Tachyglossus aculeatus)","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coins","1999-2019","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","19.41","","1.3","Medal alignment ↑↑","2017","2017","","","","Circulation","1","FALSE","UNC","Zoo","","0.45","0.47","","Short-beaked echidna (Tachyglossus aculeatus)","World Coin Zoo Binder","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.1","KM# 81","N# 2561","10 Cents - Elizabeth II (3rd Portrait)","Standard circulation coins","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","5.66","23.6","23.6","","1.76","Medal alignment ↑↑","1998","1998","","","","Circulation","1","FALSE","XF","Zoo","","0","0.35","","Superb Lyrebird (Menura novaehollandiae)","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.2","KM# 66","N# 1003","20 Cents - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","11.31","28.52","28.52","","2","Medal alignment ↑↑","1967","1967","","","","Circulation","1","FALSE","VF","Zoo","","","0.47","","Platypus (Ornithorhynchus anatinus)","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 77","N# 2288","1 Dollar - Elizabeth II (2nd Portrait)","Standard circulation coins","1984","Round","Aluminium bronze (92% Copper, 6% Aluminium, 2% Nickel)","9","25","25","","2.5","Medal alignment ↑↑","1984","1984","","","","Circulation","1","FALSE","","Zoo","","","","","","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 100","N# 2158","1 Dollar - Elizabeth II (3rd Portrait - First Fleet Bicentenary)","Circulating commemorative coins","1988","Round","Aluminium bronze (92% Copper, 6% Aluminium, 2% Nickel)","9","25","25","","2.5","Medal alignment ↑↑","1988","1988","","","","Circulation","1","FALSE","","Zoo","","","","","","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 2117","N# 49184","1 Dollar - Elizabeth II (4th Portrait - Australian Kookaburra)","Non-circulating coins","2014","Round","Silver (.999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2014","2014","P","","","BU","1","FALSE","UNC","Kookaburras","","35","54.97","","","Capsule","LCS","2025-04-08","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3085","N# 74372","1 Dollar - Elizabeth II (4th Portrait - Australian Funnel-Web Spider)","Non-circulating coins","2015","Round","Silver (.999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2015","2015","P","","","BU","1","FALSE","UNC","(Bullion)","","","49.88","","","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3086","N# 65421","1 Dollar - Elizabeth II (4th Portrait - Australian Kookaburra)","Non-circulating coins","2015","Round","Silver (.999)","31.1035","40.6","40.6","","3.5","Medal alignment ↑↑","2015","2015","P25","","","BU","1","FALSE","UNC","Kookaburras","","36","57.25","","","Capsule","LCS","2025-04-18","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3092","N# 68298","1 Dollar - Elizabeth II (4th Portrait - Australian Koala)","Non-circulating coins","2015","Round","Silver (.999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2015","2015","P","","","BU","1","FALSE","UNC","Koalas","","40","51.63","","","Capsule","Ebay","2025-04-10","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3236","N# 85886","1 Dollar - Elizabeth II (4th Portrait - Koala - Silver Bullion Coin)","Non-circulating coins","2016","Round","Silver (.999)","31.035","40.6","40.6","","4","Medal alignment ↑↑","2016","2016","P","","","BU","1","FALSE","UNC","Koalas","","35","54.03","","","Capsule","LCS","2025-04-08","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3238","N# 80390","1 Dollar - Elizabeth II (4th Portrait - Australian Kookaburra)","Non-circulating coins","2016","Round","Silver (.999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2016","2016","P","","","BU","1","FALSE","UNC","Kookaburras","","36","52.96","","","Capsule","LCS","2025-04-18","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3234","N# 76663","1 Dollar - Elizabeth II (4th Portrait - Australian Kangaroo - Bullion Coin)","Non-circulating coins","2016-2019","Round","Silver (.9999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2016","2016","P","","","BU","1","FALSE","UNC","(Bullion)","","35.27","47.35","","","Capsule","Monument Metals","2025-03-25","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 2783","N# 95694","1 Dollar - Elizabeth II (4th Portrait - Australian Kookaburra)","Non-circulating coins","2017","Round","Silver (.999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2017","2017","P","","","BU","1","FALSE","UNC","Kookaburras","","42","51.56","","","","JMBullion","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3388","N# 100525","1 Dollar - Elizabeth II (4th Portrait - Koala - Silver Bullion Coin)","Non-circulating coins","2017","Round","Silver (.999)","31.1035","40.6","40.6","","3","Medal alignment ↑↑","2017","2017","P","","","BU (KM# 3388)","1","FALSE","UNC","Koalas","","52","51.45","","","","JMBullion","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 3506","N# 132621","1 Dollar - Elizabeth II (4th Portrait - Koala - Silver Bullion Coin)","Non-circulating coins","2018","Round","Silver (.9999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2018","2018","P","","","BU","1","FALSE","UNC","Koalas","","36","49.49","","","Capsule","LCS","2025-04-18","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","1","KM# 4342","N# 308142","1 Dollar - Elizabeth II (6th Portrait - Australian Kookaburra)","Non-circulating coins","2022","Round","Silver (.9999)","31.1035","40.6","40.6","","3.5","Medal alignment ↑↑","2022","2022","P","","","BU (No KM# yet)","1","FALSE","UNC","Kookaburras","","39.99","54.17","","","Capsule","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4523","N# 373271","1 Dollar - Elizabeth II (6th Portrait; In the name of - Silver Bullion Coin)","Non-circulating coins","2023","Round","Silver (.999)","31.1035","40","40","","3","Medal alignment ↑↑","2023","2023","","","","BU","1","FALSE","UNC","(Bullion)","","","59.05","","","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4535","N# 358743","1 Dollar - Elizabeth II (6th Portrait; In the name of - Koala - Bullion Coin)","Non-circulating coins","2023","Round","Silver (.9999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2023","2023","P","","","BU","1","FALSE","UNC","Koalas","","38.83","52.41","","","Capsule","Hero Bullion","2025-03-20","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4535","N# 358743","1 Dollar - Elizabeth II (6th Portrait; In the name of - Koala - Bullion Coin)","Non-circulating coins","2023","Round","Silver (.9999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2023","2023","P","","","BU","1","FALSE","UNC","Koalas","","46.01","52.41","","","PCGS BOX #1","Ebay","2025-03-31","","","","","","NGC","MS70","","8331649-032",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4536","N# 349979","1 Dollar - Elizabeth II (6th Portrait; Posthumous - Australian Kookaburra)","Non-circulating coins","2023","Round","Silver (.9999)","31.1035","40.9","40.9","","3.5","Medal alignment ↑↑","2023","2023","P","","KM# 4536","BU","1","FALSE","UNC","Kookaburras","","46.01","56.29","","","NGC BOX #1","Ebay","2025-03-31","","","","","","NGC","MS70","","8331651-016",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4639.1","N# 394043","1 Dollar - Elizabeth II (6th Portrait; In the name of - Year of the Dragon - Coloured)","Non-circulating coins","2024","Round","Silver (.9999) (Pad Printed)","31.107","40.9","40.9","","3.5","Medal alignment ↑↑","2024","2024","P125","","","Proof - Coloured","1","FALSE","UNC","(Bullion)","","93.29","55.68","","","PCGS BOX #1","Bullion Exchanges","2025-03-24","","","","","","PCGS","MS70","","49972211",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4719","N# 395644","1 Dollar - Charles III (1st Portrait - Australian Kookaburra)","Non-circulating coins","2024","Round","Silver (.9999)","31.1035","40.9","40.9","","3.5","Medal alignment ↑↑","2024","2024","P125","","KM# 4719","BU","1","FALSE","UNC","Kookaburras","","40","48.39","","","Capsule","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4734","N# 413950","1 Dollar - Charles III (1st Portrait - Australian Koala)","Non-circulating coins","2024","Round","Silver (.9999)","31.1035","40.9","40.9","","3.5","Medal alignment ↑↑","2024","2024","P125","","","BU","1","FALSE","","Koalas","","39.03","","","","Capsule","Hero Bullion","2025-03-20","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","KM# 4778","N# 434251","1 Dollar - Charles III (1st Portrait - Hourglass Dolphin - Silver Bullion Coin)","Non-circulating coins","2024","Round","Silver (.999)","31.1035","40","40","","3","Medal alignment ↑↑","2024","2024","","","","BU","1","FALSE","UNC","(Bullion)","","","47.69","","","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","","N# 404064","1 Dollar - Charles III (1st Portrait - Australian Kangaroo - Bullion Coin)","Non-circulating coins","2024-2025","Round","Silver (.9999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2025","2025","P","","","BU","1","FALSE","UNC","(Bullion)","","37.96","44.19","","","Capsule","Apmex","2025-03-11","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","","N# 404064","1 Dollar - Charles III (1st Portrait - Australian Kangaroo - Bullion Coin)","Non-circulating coins","2024-2025","Round","Silver (.9999)","31.1035","40.6","40.6","","4","Medal alignment ↑↑","2025","2025","P","","","BU","1","FALSE","UNC","(Bullion)","","40.55","44.19","","","Capsule","Hero Bullion","2025-06-25","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","","N# 459669","1 Dollar - Charles III (1st Portrait - Australian Koala)","Non-circulating coins","2025","Round","Silver (.9999)","31.107","40.9","40.9","","3.5","Coin alignment ↑↓","2025","2025","P","","","Bullion","1","FALSE","UNC","Koalas","","38.83","51.54","","","Capsule","Hero Bullion","2025-03-20","","","","","","","","","",""
"Australia","Australia","House of Windsor • Charles III (2022-date)","Dollar (1966-date)","1","","N# 451849","1 Dollar - Charles III (1st Portrait - Australian Kookaburra)","Non-circulating coins","2025","Round","Silver (.9999)","31.107","40.9","40.9","","3.5","Medal alignment ↑↑","2025","2025","P","","","BU - 35th Anniversary privy mark","1","FALSE","UNC","Kookaburras","","42.05","52.43","","","","Hero Bullion","2025-06-25","","","","","","","","","",""
"Austria","Austria","Second Republic (1945-date)","Second Schilling (1945-2001)","0.1","KM# 2878","N# 654","10 Groschen","Standard circulation coins","1951-2001","Round","Aluminium","1.1","19.8","19.8","","1.55","Medal alignment ↑↑","1993","1993","","","","","1","TRUE","VF","World","","0.1","0.14","","","World Coins Box #1","","","","","","","","","","","",""
"Austria","Austria","Second Republic (1945-date)","Euro (2002-date)","0.01","KM# 3082","N# 57","1 Euro Cent","Standard circulation coins","2002-2025","Round","Copper plated steel","2.3","16.25","16.25","","1.67","Medal alignment ↑↑","2012","2012","","","","","1","FALSE","UNC","World","","0","0.13","","","","","","","","","","","","","","",""
"Austria","Austria","Second Republic (1945-date)","Euro (2002-date)","1.5","KM# 3159","N# 9165","1½ Euro (Vienna Philharmonic)","Non-circulating coins","2008-2025","Round","Silver (.999)","31.1","37","37","","3.2","Medal alignment ↑↑","2021","2021","","","","","1","FALSE","UNC","(Bullion)","","35.46","48.87","","","Capsule","Monument Metals","2025-03-25","","","","","","","","","",""
"Azerbaijan","Artsakh","Republic (1991-2024)","Dram (2003-2023)","1","KM# 26","N# 2412","1 Dram (Saint Gregory)","Standard circulation coins","2004","Round","Aluminium","1.13","21.7","21.7","","1.5","Medal alignment ↑↑","2004","2004","","","","","1","FALSE","UNC","Commemoratives","","0","1.19","","","World Coins Box #1","","","","","","","","","","","",""
"Azerbaijan","Artsakh","Republic (1991-2024)","Dram (2003-2023)","1","KM# 27","N# 2410","1 Dram (Cheetah)","Standard circulation coins","2004","Round","Aluminium","1.13","21.7","21.7","","1.5","Medal alignment ↑↑","2004","2004","","","","","1","FALSE","UNC","Zoo","","0","1.2","","Cheetah or Persian Leopard, Panthera Pardus Ciscaucasica","World Coin Zoo Binder","","2025-04-19","","1","","","","","","","",""
"Azerbaijan","Azerbaijan","Republic (1991-date)","Third manat (2006-date)","0.2","KM# 43","N# 4749","20 Qapiks","Standard circulation coins","2006-2011","Round","Brass plated steel","6.6","24.25","24.25","","2.05","Medal alignment ↑↑","","2006","","","","","1","TRUE","VF","World","","0.6","0.63","","","World Coins Box #1","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","KM# 2","N# 6396","1 Cent - Elizabeth II (2nd portrait)","Standard circulation coins","1966-1969","Round","Nickel brass (79% Copper, 20% Zinc, 1% Nickel)","4.16","22.5","22.5","","1.5","Medal alignment ↑↑","1968","1968","","","","Minted in 1969; London Mint","1","FALSE","VF","Zoo","","","0.23","","Bahama Sea Star (Oreaster reticulatus)","","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","KM# 2","N# 6396","1 Cent - Elizabeth II (2nd portrait)","Standard circulation coins","1966-1969","Round","Nickel brass (79% Copper, 20% Zinc, 1% Nickel)","4.16","22.5","22.5","","1.5","Medal alignment ↑↑","1969","1969","","","","Minted in 1969-1971; London and Llantrisant Mints","1","FALSE","VG","Zoo","","0","0.25","","Bahama Sea Star (Oreaster reticulatus)","World Coin Zoo Binder","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","KM# 59a","N# 941","1 Cent","Standard circulation coins","1985-2004","Round","Copper plated zinc","2.5","19","19","","1.4","Medal alignment ↑↑","1990","1990","","","","","1","FALSE","XF","Zoo","","0.25","0.34","","Bahama Sea Star (Oreaster reticulatus)","World Coin Zoo Binder","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","KM# 59a","N# 941","1 Cent","Standard circulation coins","1985-2004","Round","Copper plated zinc","2.5","19","19","","1.4","Medal alignment ↑↑","1998","1998","","","","","1","FALSE","UNC","Zoo","","1","0.64","","Bahama Sea Star (Oreaster reticulatus)","World Coin Zoo Binder","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.01","Schön# 190a","N# 92216","1 Cent (Small type - Magnetic)","Standard circulation coins","2014-2015","Round","Copper plated steel","1.7","17","17","","1","Medal alignment ↑↑","2015","2015","","","","For the Non-magnetic version, refer to the sheet linked above","1","FALSE","XF","Zoo","","","0.28","","Bahama Sea Star (Oreaster reticulatus)","","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.05","KM# 60","N# 5010","5 Cents (non-magnetic)","Standard circulation coins","1974-2006","Round","Copper-nickel (75% Copper, 25% Nickel)","3.94","21","21","","1.53","Medal alignment ↑↑","1981","1981","","","","","1","FALSE","XF","World","","0","0.51","","Pineapple","","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.05","KM# 60","N# 5010","5 Cents (non-magnetic)","Standard circulation coins","1974-2006","Round","Copper-nickel (75% Copper, 25% Nickel)","3.94","21","21","","1.53","Medal alignment ↑↑","1981","1981","","","","","1","FALSE","VF","World","","0","0.47","","","","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.1","KM# 61","N# 9224","10 Cents","Standard circulation coins","1974-2005","Scalloped (with 12 notches)","Copper-nickel (75% Copper, 25% Nickel)","5.54","23.5","23.5","","1.72","Medal alignment ↑↑","2000","2000","","","","","1","FALSE","AU","Zoo","","0","0.56","","Bonefish (Albula vulpes)","World Coin Zoo Binder","","","","","","","","","","","",""
"Bahamas, The","Bahamas, The","House of Windsor • Elizabeth II (1952-2022)","Dollar (1966-date)","0.25","KM# 63.2","N# 15296","25 Cents (non-magnetic)","Standard circulation coins","1991-2005","Round","Copper-nickel","5.75","24.26","24.26","","1.65","Medal alignment ↑↑","2000","2000","","","","","1","FALSE","XF","Nautical","","","0.54","","","","","","","","","","","","","","",""
"Bahrain","Bahrain","House of Khalifa • Isa bin Salman Al Khalifa (1961-1999)","Dinar (1965-date)","0.05","KM# 19","N# 5373","50 Fils - Isa / Hamad","Standard circulation coins","1992-2000","Round","Copper-nickel","4.5","22","22","","1.6","Medal alignment ↑↑","1420","2000","","","","","1","FALSE","F","Nautical","","","","","","","","","","","","","","","","","",""
"Bangladesh","Bangladesh","People's Republic (1971-date)","Taka (1972-date)","0.1","KM# 11.2","N# 1974","10 Poisha (FAO; small type)","Circulating commemorative coins","1983-1994","Scalloped (with 8 notches)","Aluminium","1.39","22","22","","1.77","Medal alignment ↑↑","1994","1994","","","","১৯৯৪","1","FALSE","UNC","FAO","","1.1","0.94","","","World Coins FAO Binder","","","","","","","","","","","",""
"Barbados","Barbados","Commonwealth Realm • Elizabeth II (1966-2021)","Dollar (1973-date)","0.01","KM# 10a","N# 2589","1 Cent - Elizabeth II (Light Version)","Standard circulation coins","1987-2007","Round","Copper plated zinc","2.5","19","19","","1.55","Medal alignment ↑↑","1997","1997","","","","","1","FALSE","UNC","World","","1","1","","","World Coins Box #1","","","","2","","","","","","","",""
"Barbados","Barbados","Commonwealth Realm • Elizabeth II (1966-2021)","Dollar (1973-date)","0.01","KM# 10a","N# 2589","1 Cent - Elizabeth II (Light Version)","Standard circulation coins","1987-2007","Round","Copper plated zinc","2.5","19","19","","1.55","Medal alignment ↑↑","1997","1997","","","","","1","TRUE","AU","World","","1","0.41","","","World Coins Box #1","","","","1","","","","","","","",""
"Barbados","Barbados","Commonwealth Realm • Elizabeth II (1966-2021)","Dollar (1973-date)","0.05","KM# 11","N# 912","5 Cents","Standard circulation coins","1973-2007","Round","Brass (80% Copper, 20% Zinc)","3.75","21","21","","1.67","Medal alignment ↑↑","1997","1997","","","","Royal Mint","1","FALSE","AU","World","","0.6","0.32","","","World Coins Box #1","","","","","","","","","","","",""
